Exp,Year,Month,Plot,Strip,Substrip,Date,Species,NumSp,SpNum,FgNum,Fgset,C3,C4,Forb,Legume,Woody,Achmi,Agrsm,Amocan,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Sornu,Biomass (g/m2),Note
120,1996,7,2, , ,7/30/1996,Miscellaneous sp.,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63.342, 
120,1996,7,3, , ,7/30/1996,Miscellaneous sp.,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,35.167, 
120,1996,7,5, , ,7/30/1996,Miscellaneous sp.,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.467, 
120,1996,7,6, , ,7/30/1996,Miscellaneous sp.,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,63.508, 
120,1996,7,9, , ,7/30/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,181.908, 
120,1996,7,11, , ,7/30/1996,Miscellaneous sp.,1,1,1,F,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.092, 
120,1996,7,12, , ,7/30/1996,Miscellaneous sp.,8,10,4,34FL,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,217.733, 
120,1996,7,14, , ,7/30/1996,Miscellaneous sp.,2,2,1,F,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12.067, 
120,1996,7,15, , ,7/30/1996,Miscellaneous sp.,8,10,4,3FLW,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,72.542, 
120,1996,7,16, , ,7/30/1996,Miscellaneous sp.,1,1,1,F,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25, 
120,1996,7,22, , ,7/30/1996,Miscellaneous sp.,8,10,4,3FLW,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,100.217, 
120,1996,7,24, , ,7/30/1996,Miscellaneous sp.,4,4,3,34F,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,67.425, 
120,1996,7,26, , ,7/30/1996,Miscellaneous grasses,4,4,3,34L,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.108, 
120,1996,7,26, , ,7/30/1996,Miscellaneous sp.,4,4,3,34L,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,135.442, 
120,1996,7,27, , ,7/30/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,167.158, 
120,1996,7,28, , ,7/30/1996,Miscellaneous grasses,4,4,2,LW,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0, 
120,1996,7,28, , ,7/30/1996,Miscellaneous sp.,4,4,2,LW,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,63.05, 
120,1996,7,29, , ,7/30/1996,Miscellaneous sp.,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103.55, 
120,1996,7,30, , ,7/30/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,74.175, 
120,1996,7,31, , ,7/30/1996,Miscellaneous sp.,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,195, 
120,1996,7,32, , ,7/30/1996,Miscellaneous grasses,2,2,2,4W,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6, 
120,1996,7,32, , ,7/30/1996,Miscellaneous sp.,2,2,2,4W,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.083, 
120,1996,7,33, , ,7/30/1996,Miscellaneous grasses,4,5,4,34FL,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.35, 
120,1996,7,33, , ,7/30/1996,Miscellaneous sp.,4,5,4,34FL,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.583, 
120,1996,7,34, , ,7/30/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,61.817, 
120,1996,7,35, , ,7/30/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,297.133, 
120,1996,7,44, , ,7/30/1996,Miscellaneous grasses,4,5,3,4FL,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.108, 
120,1996,7,44, , ,7/30/1996,Miscellaneous sp.,4,5,3,4FL,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,25.058, 
120,1996,7,45, , ,7/30/1996,Miscellaneous sp.,4,4,4,4FLW,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,29.725, 
120,1996,7,46, , ,7/30/1996,Miscellaneous sp.,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,120.175, 
120,1996,7,48, , ,7/30/1996,Miscellaneous sp.,2,2,2,3L,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,129.625, 
