Plot,Species
2,Lespedeza capitata
3,Asclepias tuberosa
3,Liatris aspera
3,Monarda fistulosa
3,Panicum virgatum
3,Solidago rigida
5,Andropogon gerardi
6,Panicum virgatum
6,Schizachyrium scoparium
9,Achillea millefolium(lanulosa)
9,Agropyron smithii
9,Amorpha canescens
9,Andropogon gerardi
9,Asclepias tuberosa
9,Elymus canadensis
9,Lespedeza capitata
9,Liatris aspera
9,Lupinus perennis
9,Monarda fistulosa
9,Panicum virgatum
9,Petalostemum purpureum
9,Poa pratensis
9,Quercus macrocarpa
9,Schizachyrium scoparium
9,Solidago rigida
9,Sorghastrum nutans
11,Achillea millefolium(lanulosa)
12,Achillea millefolium(lanulosa)
12,Koeleria cristata
12,Lupinus perennis
12,Monarda fistulosa
12,Petalostemum candidum
12,Petalostemum villosum
12,Poa pratensis
12,Schizachyrium scoparium
12,Solidago rigida
12,Sorghastrum nutans
14,Asclepias tuberosa
14,Liatris aspera
15,Agropyron smithii
15,Elymus canadensis
15,Monarda fistulosa
15,Petalostemum candidum
15,Petalostemum purpureum
15,Petalostemum villosum
15,Poa pratensis
15,Quercus ellipsoidalis
15,Quercus macrocarpa
15,Solidago rigida
16,Asclepias tuberosa
20,Amorpha canescens
22,Agropyron smithii
22,Asclepias tuberosa
22,Elymus canadensis
22,Koeleria cristata
22,Liatris aspera
22,Monarda fistulosa
22,Petalostemum candidum
22,Petalostemum villosum
22,Quercus macrocarpa
22,Solidago rigida
24,Asclepias tuberosa
24,Elymus canadensis
24,Panicum virgatum
24,Schizachyrium scoparium
26,Agropyron smithii
26,Elymus canadensis
26,Petalostemum purpureum
26,Sorghastrum nutans
27,Achillea millefolium(lanulosa)
27,Agropyron smithii
27,Amorpha canescens
27,Asclepias tuberosa
27,Koeleria cristata
27,Lespedeza capitata
27,Liatris aspera
27,Lupinus perennis
27,Monarda fistulosa
27,Panicum virgatum
27,Petalostemum purpureum
27,Poa pratensis
27,Quercus ellipsoidalis
27,Quercus macrocarpa
27,Schizachyrium scoparium
27,Solidago rigida
27,Sorghastrum nutans
28,Lespedeza capitata
28,Petalostemum purpureum
28,Quercus ellipsoidalis
28,Quercus macrocarpa
29,Lespedeza capitata
30,Achillea millefolium(lanulosa)
